Manufacturer,Model,Year,Fuel Type,Body Type,Seating Capacity,Ground Clearance,Ground Clearance (range),Average Price (0-20k km),Average Price (20k-50k km),Average Price (50k-100k km),Average Price (100k+ km)
Audi,a1,2018,Petrol,hatchback,5,-15.0,,,,9200000.0,
Audi,a1,2017,Petrol,hatchback,5,-15.0,,,,9200000.0,
Audi,a1,2016,Petrol,hatchback,5,-15.0,,,,9350000.0,
Audi,a1 s-line rs1,2018,Petrol,hatchback,5,-15.0,,,10890000.0,,
Audi,a1 tfsi,2016,Petrol,hatchback,5,-15.0,,,9700000.0,,
Audi,a1 tfsi 25,2024,Petrol,hatchback,5,-15.0,,15650000.0,,,
Audi,a1 tfsi 25,2023,Petrol,hatchback,5,-15.0,,15650000.0,,,
Audi,a3,2024,Petrol,hatchback,5,-53.0,,24000000.0,,13500000.0,
Audi,a3,2023,Petrol,hatchback,5,-53.0,,24000000.0,,13500000.0,
Audi,a3,2017,Petrol,hatchback,5,-53.0,,24000000.0,,13500000.0,
Audi,a3 30 tfsi,2023,Petrol,hatchback,5,-53.0,,21800000.0,,,
Audi,a3 30 tfsi premium,2023,Petrol,hatchback,5,-53.0,,23500000.0,,,
Audi,a3 30 tfsi sedan,2023,Petrol,hatchback,5,-53.0,,23800000.0,,,
Audi,a3 rs 3,2018,Petrol,hatchback,5,-53.0,,,,15900000.0,
Audi,a3 s-line,2024,Petrol,hatchback,5,-53.0,,25000000.0,,,
Audi,a3 s-line,2018,Petrol,hatchback,5,-53.0,,,,,14300000.0
Audi,a3 sedan,2024,Hybrid,sedan,5,-53.0,,18500000.0,,,
Audi,a3 sportback advanced,2024,Petrol,hatchback,5,-53.0,,14400000.0,,,
Audi,a3 sportback premium,2024,Petrol,hatchback,5,-53.0,,20200000.0,,,
Audi,a3 sportback s-line,2023,Hybrid,hatchback,5,-53.0,,16500000.0,,,
Audi,a3 sportsback,2023,Petrol,hatchback,5,-53.0,,18625000.0,,14200000.0,
Audi,a3 sportsback,2017,Petrol,hatchback,5,-53.0,,18625000.0,,14200000.0,
Audi,a3 tfsi,2024,Petrol,hatchback,5,-53.0,,22400000.0,,,
Audi,a3 tfsi,2023,Petrol,hatchback,5,-53.0,,21800000.0,,,
Audi,a3 tfsi,2018,Petrol,hatchback,5,-53.0,,,,17250000.0,
Audi,a3 tfsi advanced,2023,Petrol,hatchback,5,-53.0,,,19000000.0,,
Audi,a3 tfsi s-line,2018,Petrol,hatchback,5,-53.0,,,,12750000.0,
Audi,a3 tfsi sedan,2024,Petrol,sedan,5,-53.0,,19500000.0,,,
