Manufacturer,Model,Year,Condition,Fuel Type,Price,Mileage,Average Price (0-20k km),Average Price (20k-50k km),Average Price (50k-100k km),Average Price (100k+ km)
Audi,Q3 Q4 Vorsprung SLine,2024.0,,Electric,42950000,150,42950000,,,
Audi,Q4,2024.0,,Electric,39500000,4500,39500000,,,
Audi,Q4 E-Tron S Line Sports back,2024.0,,Electric,42000000,0,42000000,,,
Audi,Q4 Etron 40,2024.0,,Electric,37950000,550,37950000,,,
Audi,e-tron 50 Quattro Q8,2024.0,,Electric,45000000,200,45000000,,,
Audi,e-tron 50 Quattro Q8 F/Load,2024.0,,Electric,52500000,0,52500000,,,
Audi,e-tron Q8,2024.0,,Electric,45000000,0,42333333,,,
Audi,e-tron Q8 50 Quattro S Line,2024.0,,Electric,52500000,0,50000000,,,
Audi,Q3 Q4/S-Line/8YWarranty,2023.0,,Electric,30500000,30000,,30500000,,
Audi,Q4 40 Etron,2023.0,,Electric,36000000,25000,,36000000,,
Audi,Q4 E-Tron S Line HIGHEST SPEC,2023.0,,Electric,38950000,0,38950000,,,
Audi,e-tron Q4,2023.0,,Electric,36500000,0,36500000,,,
BMW,i7,2025.0,,Electric,110000000,0,110000000,,,
BMW,i5 M Sport,2024.0,,Electric,62000000,0,62000000,,,
BMW,i7 M SPORT 2-TONE ULT,2024.0,,Electric,135000000,0,135000000,,,
BMW,i7 MATT PAINT FULL SPEC,2024.0,,Electric,125000000,0,125000000,,,
BMW,i7 X Drive60,2024.0,,Electric,99000000,9500,99000000,,,
BMW,iX xDrive40,2023.0,,Electric,55000000,0,55000000,,,
BMW,iX xDrive40 M-Sport Pro,2023.0,,Electric,52500000,18000,52500000,,,
BMW,530e M Sport 45000Km,2018.0,,Electric,34700000,45700,,34700000,,
BMW,X5 eDrive,2017.0,,Electric,31000000,78000,,,31000000,
BMW,i3,2017.0,,Electric,9850000,48000,,8416667,7500000,
BMW,i3,2015.0,,Electric,7900000,47800,,8416667,7500000,
BMW,i3,2014.0,,Electric,7500000,60000,,8416667,7500000,
BMW,i3,2013.0,,Electric,7500000,43155,,8416667,7500000,
BYD,ATTO 3,2025.0,,Electric,17500000,0,20245000,,,
BYD,ATTO 3 Superior,2025.0,,Electric,18000000,750,18000000,,,
BYD,Sealion 6,2025.0,,Electric,23590000,0,23590000,,,
BYD,ATTO 3,2024.0,,Electric,22990000,50,20245000,,,
BYD,Seal,2024.0,,Electric,50000000,1500,50000000,,,
BYD,e6 White Exterior,2019.0,,Electric,9000000,68500,,,9000000,
Car,OG V7,2020.0,,Electric,4300000,0,4300000,,,
Dongfeng,Box E3 EV,2025.0,,Electric,9850000,0,9850000,,,
Ford,Mustang MACH E Premium X,2024.0,,Electric,51000000,0,51000000,,,
Ford,Mustang Mach E,2024.0,,Electric,42500000,0,42500000,,,
Ford,Mustang Mach- E,2024.0,,Electric,62500000,40,62500000,,,
Ford,Mustang Mach-E,2024.0,,Electric,69500000,80,69500000,,,
Hyundai,Creta Premium,2025.0,,Electric,17200000,0,17200000,,,
Hyundai,Kona EV,2020.0,,Electric,13500000,63000,,,13500000,
JMEV,Elight,2025.0,,Electric,16850000,0,16850000,,,
Jaecoo,J6 EV,2025.0,,Electric,26500000,50,26500000,,,
Kia,EV5 | Frost Blue,2024.0,,Electric,34500000,0,34500000,,,
Kia,EV5 | Iceberg Green,2024.0,,Electric,34500000,0,34500000,,,
Kia,EV5 | Shale Grey,2024.0,,Electric,34500000,0,34500000,,,
MG,MG4 V Long Range Highest Spec,2024.0,,Electric,16500000,0,16500000,,,
MG,MG4 V Long Range WITH AMOTRIZ BODYKIT,2024.0,,Electric,16490000,0,16490000,,,
MG,MG4 X,2024.0,,Electric,13900000,4000,16400000,,,
MG,EP PLUS,2023.0,,Electric,13500000,55000,,,13500000,
MG,MG4 X,2023.0,,Electric,18500000,0,16400000,,,
MG,MG4 X Highest Trim,2023.0,,Electric,15500000,26000,,15500000,,
Mahindra,e2o,2021.0,,Electric,2750000,19500,2750000,,,
Mercedes Benz,CLA 250 Premium,2026.0,,Electric,39000000,0,39000000,,,
Mercedes Benz,EQB 250,2024.0,,Electric,38000000,0,38000000,,,
Mercedes Benz,EQE 300 AMG,2024.0,,Electric,61000000,11000,61000000,,,
Mercedes Benz,EQE 300 AMG PREMIUM PLUS,2024.0,,Electric,53590000,20000,53590000,53590000,,
Mercedes Benz,EQE 300 AMG Premium Plus,2024.0,,Electric,64800000,6000,64800000,,,
Mercedes Benz,EQE 300 Premium Plus,2024.0,,Electric,67500000,4500,67500000,,,
Mercedes Benz,EQS 450 AMG,2024.0,,Electric,88500000,6000,88500000,,,
Mercedes Benz,EQS 450 AMG BUSINESS CLASS,2024.0,,Electric,115000000,0,115000000,,,
Mercedes Benz,EQB 300 Premium Plus,2023.0,,Electric,36500000,25700,,36500000,,
Mercedes Benz,E350 E350e AMG Premium +,2017.0,,Electric,26700000,104000,,,,26700000
Mercedes Benz,B250e,2016.0,,Electric,13500000,104000,,,,13500000
Mercedes Benz,B250e Fully,2015.0,,Electric,11000000,85000,,,11000000,
Nissan,Kick X Grade,2024.0,,Electric,14700000,5000,14716667,,,
Nissan,Kicks X Grade,2024.0,,Electric,14700000,12000,14700000,,,
Nissan,Sakura X,2024.0,,Electric,7690000,13000,7690000,,,
Nissan,Sakura EV,2023.0,,Electric,7975000,2000,7975000,,,
Nissan,Leaf,2017.0,,Electric,14950000,85000,,8665000,8225000,5433333
Nissan,Leaf,2015.0,,Electric,6800000,93000,,8665000,8225000,5433333
Nissan,Leaf AZEO,2015.0,,Electric,8550000,50000,,8550000,6049000,6450000
Nissan,Leaf Acenta,2015.0,,Electric,7750000,23000,,7750000,5900000,
Nissan,Leaf,2014.0,,Electric,8665000,23000,,8665000,8225000,5433333
Nissan,Leaf AZE0,2014.0,,Electric,5300000,90000,,,5775000,
Nissan,Leaf AZEO,2014.0,,Electric,5450000,79000,,8550000,6049000,6450000
Nissan,Leaf Acenta,2014.0,,Electric,5900000,79000,,7750000,5900000,
Nissan,Leaf Ascenta,2014.0,,Electric,5800000,56000,,,5800000,
Nissan,Leaf G grade,2014.0,,Electric,5150000,130000,,,,5150000
Nissan,Leaf Visia,2014.0,,Electric,5500000,258000,,,,5500000
Nissan,Leaf,2013.0,,Electric,5500000,126000,,8665000,8225000,5433333
Nissan,Leaf AZE0 X Grade,2013.0,,Electric,6800000,105000,,,,6800000
Nissan,Leaf AZEO,2013.0,,Electric,5350000,67500,,8550000,6049000,6450000
Nissan,Leaf,2012.0,,Electric,4650000,65000,,8665000,8225000,5433333
Nissan,Leaf ZEO,2012.0,,Electric,5340000,63000,,,5340000,
OG-V7,,2019.0,,Electric,4000000,120,,,,
Peugeot,E-2008,2023.0,,Electric,23790000,9000,23790000,,,
Porsche,Taycan,2024.0,,Electric,82000000,500,82000000,,,
Ssang,Yong Torres EVX,2024.0,,Electric,35000000,0,35000000,,,
Tata,Tiago,2023.0,,Electric,7800000,35961,,7800000,,
Tesla,Model 3,2024.0,,Electric,34000000,60,36666666,,,
Tesla,Model 3 Facelift,2024.0,,Electric,39500000,65,39500000,,,
Tesla,Model 3 HIGHLAND FACELIFT,2024.0,,Electric,32490000,0,32490000,,,
Tesla,Model 3 Premium,2024.0,,Electric,46500000,0,46500000,,,
Tesla,Model 3 V8,2024.0,,Electric,34000000,0,34000000,,,
Tesla,Model Y,2024.0,,Electric,32950000,100,32725000,,,
Tesla,Model Y LONG RANGE,2024.0,,Electric,32490000,0,32490000,,,
Tesla,Model Y LONG RANGE FULL SPEC,2024.0,,Electric,32500000,0,32500000,,,
Tesla,Model Y Premium Editions,2024.0,,Electric,31950000,50,31950000,,,
Tesla,Model Y,2023.0,,Electric,32500000,3900,32725000,,,
Tesla,Model S,2016.0,,Electric,35000000,21000,,37250000,40000000,
Tesla,Model S,2015.0,,Electric,39500000,22000,,37250000,40000000,
Toyota,Yaris Cross Z Grade,2023.0,,Electric,17350000,18000,17350000,,,
Volkswagen,ID 4 PRO,2023.0,,Electric,25900001,0,25900001,,,
Volkswagen,ID 5 | Pro,2023.0,,Electric,36500000,3500,36500000,,,
Volkswagen,ID-4 STYLISH Pure,2023.0,,Electric,26500000,2500,26500000,,,
