Manufacturer,Model,Year,Condition,Fuel Type,Price,Mileage,Average Price (0-20k km),Average Price (20k-50k km),Average Price (50k-100k km),Average Price (100k+ km)
Audi,A3 Sedan,2024.0,,Hybrid,18500000,10000,18500000,,,
Audi,A3 Sedan TFSI Advanced,2024.0,,Hybrid,18500000,10000,18500000,,,
Audi,A3 Sportback S-Line,2023.0,,Hybrid,16500000,10000,16500000,,,
BMW,530e M Sport Brand,2025.0,New,Hybrid,62000000,10,62000000,,,
BMW,530e M-Sport,2025.0,,Hybrid,65000000,0,65000000,,,
BMW,X1 20i M Sport,2025.0,,Hybrid,38000000,3000,38000000,,,
BMW,X1 20i M Sport DCT,2025.0,,Hybrid,42500000,10,42500000,,,
BMW,X5 eDrive M-Sport,2025.0,,Hybrid,114000000,0,114000000,,,
BMW,X5 eDrive plugin,2025.0,,Hybrid,95000000,10,95000000,,,
BMW,520i M sport Pro,2024.0,,Hybrid,58000000,3000,58000000,,,
BMW,X7 40D M sport,2024.0,,Hybrid,120000000,2000,120000000,,,
BMW,530e G30,2019.0,,Hybrid,31900000,115000,,,,31900000
BMW,i8 Roadster,2019.0,,Hybrid,44500000,14000,44500000,,,
BMW,530e,2018.0,,Hybrid,33000000,61000,,30000000,33000000,
BMW,530e M Sport,2018.0,,Hybrid,31500000,67000,,,31500000,
BMW,530e M Sport Individual,2018.0,,Hybrid,31000000,93000,,,31000000,
BMW,530e i Performance -G30,2018.0,,Hybrid,33750000,10850,33750000,,,
BMW,740Le,2018.0,,Hybrid,48000000,85000,,,48000000,
BMW,X5 eDrive M Sport,2018.0,,Hybrid,33500000,67000,,,33500000,
BMW,530e Individual M Sport,2017.0,,Hybrid,33500000,40000,,33500000,,
BMW,740Le G12,2017.0,,Hybrid,40000000,83479,,,40000000,
BMW,740Le M sport,2017.0,,Hybrid,43500000,50000,,43500000,43500000,
BMW,740e M Sport,2017.0,,Hybrid,39000000,102000,,,,39000000
BMW,X5 eDrive E40 MSport,2017.0,,Hybrid,28900000,68000,,,28900000,
BMW,X5 eDrive Full Option,2017.0,,Hybrid,31000000,59000,,,31000000,
BMW,740Le (LONG WHEEL BASE),2016.0,,Hybrid,49800000,40000,,49800000,,
BMW,740Le comfort plus,2016.0,,Hybrid,43850000,43000,,43850000,,
BMW,X5,2016.0,,Hybrid,30500000,62800,,,29000000,
BMW,X5 eDrive,2016.0,,Hybrid,28500000,106000,,,,28500000
BMW,X5 eDrive 40E EM Sport,2016.0,,Hybrid,29000000,82000,,,29000000,
BMW,i8,2016.0,,Hybrid,31500000,35000,,31500000,,
BMW,X5 M sport,2015.0,,Hybrid,27500000,78000,,,27500000,
BMW,X5 M-Sport,2015.0,,Hybrid,3500000,108500,,,,3500000
BMW,ActiveHybrid 7,2013.0,,Hybrid,29500000,65000,,,29500000,
BMW,535i active 5,2012.0,,Hybrid,22000000,120000,,,,22000000
BYD,Sealion 6,2025.0,,Hybrid,23850000,0,23768000,,,
Daihatsu,Rocky Fully Loaded,2025.0,,Hybrid,15600000,25,15600000,,,
Daihatsu,Rocky G premium,2025.0,,Hybrid,14300000,0,14750000,,,
Daihatsu,Rocky Premium G,2025.0,,Hybrid,15650000,0,15650000,,,
Daihatsu,Rocky Premium G HEV,2025.0,,Hybrid,14595000,12000,14595000,14800000,,
Daihatsu,Rocky G Premium,2024.0,,Hybrid,15250000,9000,15250000,,,
Daihatsu,Rocky,2023.0,,Hybrid,14000000,34220,14375000,13933333,,
Daihatsu,Rocky G premium,2023.0,,Hybrid,15200000,6000,14750000,,,
Daihatsu,Rocky PREMIUM G,2023.0,,Hybrid,15200000,13500,15200000,,,
Daihatsu,Rocky Premium G HEV,2023.0,,Hybrid,14800000,35700,14595000,14800000,,
Daihatsu,Rocky e Smart,2023.0,,Hybrid,15200000,6500,15200000,,,
Daihatsu,Taft,2023.0,,Hybrid,8875000,5606,8875000,,,
Daihatsu,Taft X,2023.0,,Hybrid,8750000,10000,8750000,,,
Daihatsu,Rocky,2022.0,,Hybrid,14375000,19000,14375000,13933333,,
Daihatsu,Mira LA350 X Grade,2018.0,,Hybrid,6180000,114000,,,,6180000
Honda,City RS,2025.0,,Hybrid,14975000,0,14975000,,,
Honda,Fit GP3 RS,2025.0,,Hybrid,14800000,1000,14800000,,,
Honda,N-Box Custom Sensing,2025.0,,Hybrid,10350000,650,9967500,,,
Honda,Vezel,2025.0,,Hybrid,20200000,55,20925000,18800000,12875000,11487200
Honda,Vezel Brand,2025.0,New,Hybrid,19800000,0,20800000,,,
Honda,Vezel E Hev Z,2025.0,,Hybrid,18500000,5,18500000,,,
Honda,Vezel HEV Z,2025.0,,Hybrid,20400000,500,20400000,,,
Honda,Vezel RV5 Z GRADE,2025.0,,Hybrid,21450000,0,21450000,,,
Honda,Vezel RV5 Z PLAY PACKAGE,2025.0,,Hybrid,24950000,0,25150000,,,
Honda,Vezel X GRADE BRAND,2025.0,NEW,Hybrid,18990000,0,18990000,,,
Honda,Vezel X Grade,2025.0,,Hybrid,18500000,15,17697143,16990000,,9670000
Honda,Vezel X HUNT,2025.0,,Hybrid,19750000,0,19750000,,,
Honda,Vezel X HUNT BRAND,2025.0,NEW,Hybrid,19590000,24,19190000,,,
