Manufacturer,Model,Year,Fuel Type,Price,Mileage,Average Price (0-20k km),Average Price (20k-50k km),Average Price (50k-100k km),Average Price (100k+ km),Condition
Audi,Q7 Platinum Edition,2025.0,Petrol,73000000,0,73000000.0,,,,
Audi,Q7 Quattro,2025.0,Petrol,75000000,50,75000000.0,,35825000.0,25250000.0,
Audi,A1 TFSI 25,2024.0,Petrol,15450000,3350,15650000.0,,,,
Audi,A3,2024.0,Petrol,24500000,7000,24000000.0,,13500000.0,,
Audi,A3 S Line Highest Spec,2024.0,Petrol,25000000,300,25000000.0,,,,
Audi,A3 Sedan,2024.0,Hybrid,18500000,10000,18500000.0,,,,
Audi,A3 Sedan TFSI,2024.0,Petrol,19500000,12000,19500000.0,,,,
Audi,A3 Sedan TFSI Advanced,2024.0,Hybrid,18500000,10000,18500000.0,,,,
Audi,A3 Sportback Advanced,2024.0,Petrol,14400000,10000,14400000.0,,,,
Audi,A3 Sportback Premium,2024.0,Petrol,20200000,11000,20200000.0,,,,
Audi,A3 TFSI,2024.0,Petrol,22400000,7000,22400000.0,,,,
Audi,Q3 Q4 Vorsprung SLine,2024.0,Electric,42950000,150,42950000.0,,,,
Audi,Q3 SPORT BACK S-LINE,2024.0,Petrol,34000000,2000,34000000.0,,,,
Audi,Q4,2024.0,Electric,39500000,4500,39500000.0,,,,
Audi,Q4 E-Tron S Line Sports back,2024.0,Electric,42000000,0,42000000.0,,,,
Audi,Q4 Etron 40,2024.0,Electric,37950000,550,37950000.0,,,,
Audi,e-tron 50 Quattro Q8,2024.0,Electric,45000000,200,45000000.0,,,,
Audi,e-tron 50 Quattro Q8 F/Load,2024.0,Electric,52500000,0,52500000.0,,,,
Audi,e-tron Q8,2024.0,Electric,45000000,0,42333333.0,,,,
Audi,e-tron Q8 50 Quattro S Line,2024.0,Electric,52500000,0,50000000.0,,,,
Audi,A1 TFSI 25,2023.0,Petrol,15850000,15400,15650000.0,,,,
Audi,A3,2023.0,Petrol,23500000,9000,24000000.0,,13500000.0,,
Audi,A3 30 TFSI Premium,2023.0,Petrol,23500000,10000,23500000.0,,,,
Audi,A3 30 TFSI Sedan,2023.0,Petrol,23800000,5000,23800000.0,,,,
Audi,A3 30 TFSI UK Spec,2023.0,Petrol,21800000,4000,21800000.0,,,,
Audi,A3 Advance Sedan 30TFSI,2023.0,Petrol,22950000,3500,22950000.0,,,,
Audi,A3 Sportback S-Line,2023.0,Hybrid,16500000,10000,16500000.0,,,,
Audi,A3 Sportback TFSI,2023.0,Petrol,18950000,16000,18950000.0,,,,
Audi,A3 Sportsback,2023.0,Petrol,18000000,18000,18625000.0,,14200000.0,,
Audi,A3 TFSI 30,2023.0,Petrol,18750000,19000,18750000.0,,,,
Audi,A3 TFSI Advanced,2023.0,Petrol,19000000,24880,,19000000.0,,,
Audi,A3 TFSI UK Spec,2023.0,Petrol,21800000,6300,21800000.0,,,,
Audi,Q3 Q4/S-Line/8YWarranty,2023.0,Electric,30500000,30000,,30500000.0,,,
Audi,Q3 S Line Sportsback,2023.0,Petrol,35500000,5000,35500000.0,,,,
Audi,Q3 TFSi S Line Plus,2023.0,Petrol,34500000,8900,34500000.0,,,,
Audi,Q4 40 Etron,2023.0,Electric,36000000,25000,,36000000.0,,,
Audi,Q4 E-Tron S Line HIGHEST SPEC,2023.0,Electric,38950000,0,38950000.0,,,,
Audi,e-tron GT Sport Edition,2023.0,Petrol,98000000,0,98000000.0,,,,
Audi,e-tron Q4,2023.0,Electric,36500000,0,36500000.0,,,,
Audi,Q3,2022.0,Petrol,31000000,3000,31000000.0,,19200000.0,23500000.0,
Audi,A5 S-Line,2019.0,Petrol,31000000,43000,,31000000.0,26000000.0,,
Audi,Q2,2019.0,Petrol,17000000,62000,,,15647500.0,14080000.0,
Audi,Q3,2019.0,Petrol,23500000,100500,31000000.0,,19200000.0,23500000.0,
Audi,Q3 S Line,2019.0,Petrol,26000000,47000,,26000000.0,,,
Audi,Q3 S-Line Quattro,2019.0,Petrol,26500000,28100,,26500000.0,,,
Audi,A1,2018.0,Petrol,9600000,72000,,,9200000.0,,
Audi,A1 S-Line RS1,2018.0,Petrol,10890000,27000,,10890000.0,,,
Audi,A3 RS 3,2018.0,Petrol,15900000,74000,,,15900000.0,,
Audi,A3 S Line,2018.0,Petrol,14300000,122000,,,,14300000.0,
Audi,A3 S-Line,2018.0,Petrol,16500000,93000,,,16500000.0,,
Audi,A3 TFSI Highest Spec,2018.0,Petrol,17250000,54000,,,17250000.0,,
Audi,A3 TFSI SLINE,2018.0,Petrol,12750000,62000,,,12750000.0,,
Audi,A3 TFSI Sunroof,2018.0,Petrol,14490000,128000,,,,14490000.0,
Audi,A4 S Line,2018.0,Petrol,20900000,63000,,,20900000.0,,
Audi,A5,2018.0,Petrol,23000000,65000,,,23000000.0,,
Audi,A5 S Line Cabriolet,2018.0,Petrol,35000000,49000,,35000000.0,,,
Audi,A5 S-Line,2018.0,Petrol,26000000,86000,,31000000.0,26000000.0,,
Audi,Q2,2018.0,Petrol,14900000,109000,,,15647500.0,14080000.0,
Audi,Q2 Anniversary White,2018.0,Petrol,14450000,80000,,,14450000.0,,
Audi,Q2 Full Option,2018.0,Petrol,13475000,220000,,,,13475000.0,
Audi,Q2 S line,2018.0,Petrol,17500000,53000,,,17500000.0,,
Audi,Q2 Sunroof,2018.0,Petrol,14800000,156000,,,13000000.0,14800000.0,
Audi,Q2 TFSI Anniversary,2018.0,Petrol,14850000,64000,,,14850000.0,,
Audi,Q2 TFSl,2018.0,Petrol,15950000,76900,,,15950000.0,,
Audi,Q3,2018.0,Petrol,19200000,69598,31000000.0,,19200000.0,23500000.0,
Audi,Q3 Premium Full Spec,2018.0,Petrol,18000000,90000,,,18000000.0,,
Audi,A1,2017.0,Petrol,8800000,91600,,,9200000.0,,
Audi,A3,2017.0,Petrol,13500000,91000,24000000.0,,13500000.0,,
Audi,A3 Sportsback,2017.0,Petrol,14200000,60000,18625000.0,,14200000.0,,
Audi,Q2,2017.0,Petrol,13490000,105000,,,15647500.0,14080000.0,
Audi,Q2 Sunroof,2017.0,Petrol,13000000,70000,,,13000000.0,14800000.0,
Audi,Q2 TFSI,2017.0,Petrol,16990000,102000,,,14300000.0,16990000.0,
Audi,Q2 Virtual,2017.0,Petrol,15275000,70000,,,15275000.0,,
Audi,Q7 3000CC V6 S-LINE,2017.0,Petrol,35000000,69900,,,35000000.0,,
Audi,Q7 Quattro,2017.0,Petrol,37500000,78000,75000000.0,,35825000.0,25250000.0,
Audi,A1 1st,2016.0,Petrol,9350000,87000,,,9350000.0,,
Audi,A1 TFSI,2016.0,Petrol,9700000,43000,,9700000.0,,,
Audi,A4 2.0L 40TFSI,2016.0,Petrol,18800000,87000,,,18800000.0,,
Audi,A4 TFSI,2016.0,Petrol,19000000,175000,,,,19000000.0,
Audi,A6,2016.0,Petrol,21500000,65000,,,21500000.0,13800000.0,
Audi,Q7 3L Quattro 45 TFSI,2016.0,Petrol,38500000,71000,,,38500000.0,,
Audi,Q7 40TFSI Quattro,2016.0,Petrol,32500000,95000,,,32500000.0,,
Audi,Q7 Quattro,2016.0,Petrol,35500000,95000,75000000.0,,35825000.0,25250000.0,
Audi,Q5 Quattro,2015.0,Petrol,22500000,87000,,,22500000.0,,
Audi,A6 TDI,2014.0,Diesel,19000000,154201,,,,19000000.0,
Audi,A7 3.0T Quattro,2014.0,Petrol,28000000,82000,,,28000000.0,,
Audi,A6,2013.0,Diesel,15900000,113000,,,,15900000.0,
Audi,Q3 2L,2013.0,Petrol,14000000,121000,,,,14000000.0,
Audi,A4,2012.0,Petrol,12500000,71000,,,12500000.0,,
Audi,A4 B8.5 (Quattro),2012.0,Petrol,13950000,62000,,,13950000.0,,
Audi,A4 Premium,2012.0,Petrol,13800000,87000,,,13800000.0,,
Audi,A4 TDI,2012.0,Diesel,12900000,143000,,,,12900000.0,
Audi,A6,2012.0,Petrol,13800000,110000,,,21500000.0,13800000.0,
Audi,A6 2.0 TDI,2012.0,Diesel,13950000,226000,,,,13950000.0,
Audi,Q5 Quattro S Line TFSL,2012.0,Petrol,16450000,87500,,,16450000.0,,
Audi,A4,2011.0,Diesel,11800000,145000,,,13000000.0,12400000.0,
Audi,Q7 Quattro,2011.0,Petrol,19000000,137000,75000000.0,,35825000.0,25250000.0,
Audi,A6 TFSI F/Loaded,2007.0,Petrol,9275000,133000,,,,9275000.0,
BMW,530e M Sport Brand,2025.0,Hybrid,62000000,10,62000000.0,,,,New
BMW,530e M-Sport,2025.0,Hybrid,65000000,0,65000000.0,,,,
BMW,M760 Full spec 575Bhp,2025.0,Petrol,155000000,0,155000000.0,,,,
BMW,Mini Cooper C- Sport 5 Door,2025.0,Petrol,28000000,1000,28000000.0,,,,
BMW,X1 20i M Sport,2025.0,Hybrid,38000000,3000,38000000.0,,,,
BMW,X1 20i M Sport DCT,2025.0,Hybrid,42500000,10,42500000.0,,,,
BMW,X1 ENHANCED PACKAGE B/N,2025.0,Petrol,43850000,10,43850000.0,,,,
BMW,X1 ENHANCED PACKAGE NEW,2025.0,Petrol,43850000,10,43850000.0,,,,
BMW,X5 eDrive M-Sport,2025.0,Hybrid,114000000,0,114000000.0,,,,
BMW,X5 eDrive plugin,2025.0,Hybrid,95000000,10,95000000.0,,,,
BMW,i7,2025.0,Electric,110000000,0,110000000.0,,,,
BMW,218i Gran M sport,2024.0,Petrol,30750000,4000,30750000.0,,,,
BMW,218i MSport Gran,2024.0,Petrol,31500000,3000,31500000.0,,,,
BMW,520i M sport Pro,2024.0,Hybrid,58000000,3000,58000000.0,,,,
BMW,523i LUXURY LINE,2024.0,Petrol,62500000,5000,62500000.0,,,,
BMW,X1 20i MHT M Sport,2024.0,Petrol,38500000,15000,38500000.0,,,,
BMW,X1 M SPORT,2024.0,Petrol,38000000,0,38250000.0,,,,
BMW,X1 X DRIVE 25E M SPORT,2024.0,Petrol,43590000,0,43590000.0,,,,
BMW,X7 40D M sport,2024.0,Hybrid,120000000,2000,120000000.0,,,,
BMW,X7 M-SPORT,2024.0,Petrol,137500000,0,137500000.0,,,,
BMW,X7 X DRIVE 40D M SPORT,2024.0,Diesel,120000000,5000,120000000.0,,,,
BMW,i5 M Sport,2024.0,Electric,62000000,0,62000000.0,,,,
BMW,i7 M SPORT 2-TONE ULT,2024.0,Electric,135000000,0,135000000.0,,,,
BMW,i7 MATT PAINT FULL SPEC,2024.0,Electric,125000000,0,125000000.0,,,,
BMW,i7 X Drive60,2024.0,Electric,99000000,9500,99000000.0,,,,
BMW,218i GRAN M Sport,2023.0,Petrol,29500000,3270,29500000.0,,,,
BMW,218i M Sport,2023.0,Petrol,30000000,20000,30000000.0,30000000.0,,,
BMW,523i M Sport,2023.0,Petrol,59500000,11000,59500000.0,,,,
BMW,iX xDrive40,2023.0,Electric,55000000,0,55000000.0,,,,
BMW,iX xDrive40 M-Sport Pro,2023.0,Electric,52500000,18000,52500000.0,,,,
BMW,318i,2020.0,Petrol,21850000,89000,,22800000.0,22425000.0,21250000.0,
BMW,318i INDIVIDUAL M SPORT,2019.0,Petrol,25975000,36000,,25975000.0,,,
BMW,520d M Sport,2019.0,Diesel,43000000,30000,,37750000.0,,20350000.0,
BMW,530e G30,2019.0,Hybrid,31900000,115000,,,,31900000.0,
BMW,725D Luxury Line,2019.0,Diesel,62500000,4000,62500000.0,,,,
