Manufacturer,Model,Year,Fuel Type,Body Type,Seating Capacity,Ground Clearance (range),Body Type 1 (sedan),Body Type 2 (hatchback),Body Type 3 (suv),Body Type 4 (mpv),Body Type 5 (pickup),Body Type 6 (coupe),Body Type 7 (convertible),Body Type 8 (wagon),Body Type 9 (van),Body Type 10 (crossover),Body Type 11 (kei / microvan),Body Type 12 (roadster),Body Type 13 (other),Body Type 14 (liftback),Body Type 15 (mpv / minivan),City/Urban,Suburban/Normal,Mid Off-Road,Off-Road/Hilly Terrain,Average Price (0-20k km),Average Price (20k-50k km),Average Price (50k-100k km),Average Price (100k+ km)
Audi,a1,2016,Petrol,hatchback,5,121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,9350000.0,
Audi,a1,2017,Petrol,hatchback,5,121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,9200000.0,
Audi,a1,2018,Petrol,hatchback,5,121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,9200000.0,
Audi,a1 tfsi,2016,Petrol,hatchback,5,121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,9700000.0,,
Audi,a1 tfsi 25,2023,Petrol,hatchback,5,136,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,15650000.0,,,
Audi,a1 tfsi 25,2024,Petrol,hatchback,5,136,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,15650000.0,,,
Audi,a1 tfsi s-line,2018,Petrol,hatchback,5,121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,10890000.0,,
Audi,a3,2017,Petrol,hatchback,5,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24000000.0,,13500000.0,
Audi,a3,2023,Petrol,hatchback,5,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24000000.0,,13500000.0,
Audi,a3,2024,Petrol,hatchback,5,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24000000.0,,13500000.0,
Audi,a3 30 tfsi,2023,Petrol,hatchback,5,112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21800000.0,,,
Audi,a3 rs3,2018,Petrol,hatchback,5,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,15900000.0,
Audi,a3 s-line,2018,Petrol,hatchback,5,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,14300000.0
Audi,a3 s-line,2024,Petrol,hatchback,5,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25000000.0,,,
Audi,a3 sedan,2024,Hybrid,sedan,5,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18500000.0,,,
Audi,a3 sportback advanced,2024,Petrol,hatchback,5,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14400000.0,,,
Audi,a3 sportback premium,2024,Petrol,hatchback,5,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20200000.0,,,
Audi,a3 sportback s-line,2023,Hybrid,hatchback,5,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16500000.0,,,
Audi,a3 sportsback,2017,Petrol,hatchback,5,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18625000.0,,14200000.0,
Audi,a3 sportsback,2023,Petrol,hatchback,5,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18625000.0,,14200000.0,
Audi,a3 tfsi,2018,Petrol,hatchback,5,112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,17250000.0,
Audi,a3 tfsi,2023,Petrol,hatchback,5,112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21800000.0,,,
Audi,a3 tfsi,2024,Petrol,hatchback,5,112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22400000.0,,,
Audi,a3 tfsi s-line,2018,Petrol,hatchback,5,112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,12750000.0,
Audi,a3 tfsi sedan,2024,Petrol,sedan,5,112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19500000.0,,,
Audi,a3 tfsi sportback,2023,Petrol,hatchback,5,112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18950000.0,,,
Audi,a4,2011,Diesel,sedan / wagon,5,129,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,13000000.0,12400000.0
Audi,a4,2012,Petrol,sedan / wagon,5,108,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,12500000.0,
Audi,a4 40tfsi,2016,Petrol,sedan/wagon,5,108,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,18800000.0,
Audi,a4 b8.5 quattro,2012,Petrol,sedan/wagon,5,154,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,,,13950000.0,
Audi,a4 s-line,2018,Petrol,sedan/wagon,5,129,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,20900000.0,
Audi,a4 tdi,2012,Diesel,sedan/wagon,5,108,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,,12900000.0
Audi,a4 tfsi,2016,Petrol,sedan/wagon,5,108,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,,19000000.0
Audi,a5,2018,Petrol,sedan,5,119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,23000000.0,
Audi,a5 s-line,2018,Petrol,sedan,5,119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,31000000.0,26000000.0,
Audi,a5 s-line,2019,Petrol,sedan,5,119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,31000000.0,26000000.0,
Audi,a5 s-line cabriolet,2018,Petrol,sedan,5,119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,35000000.0,,
Audi,a6,2012,Petrol,sedan / wagon,5,182,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,,,21500000.0,13800000.0
Audi,a6,2013,Diesel,sedan / wagon,5,182,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,,,,15900000.0
Audi,a6,2016,Petrol,sedan / wagon,5,182,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,,,21500000.0,13800000.0
Audi,a6 tdi,2012,Diesel,sedan/wagon,5,182,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,,,,13950000.0
Audi,a6 tdi,2014,Diesel,sedan/wagon,5,182,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,,,,19000000.0
Audi,a6 tfsi,2007,Petrol,sedan/wagon,5,140,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,,,,9275000.0
Audi,a7 3.0t quattro,2014,Petrol,hatchback/hatchback sportback,5,113,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,28000000.0,
Audi,e-tron gt sport edition,2023,Petrol,suv/suv sportback,5,176,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,98000000.0,,,
Audi,q2,2017,Petrol,suv,5,144,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,15647500.0,14080000.0
Audi,q2,2018,Petrol,suv,5,144,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,15647500.0,14080000.0
Audi,q2,2019,Petrol,suv,5,144,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,15647500.0,14080000.0
Audi,q2 s-line,2018,Petrol,suv,5,144,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,17500000.0,
Audi,q2 tfsi,2017,Petrol,suv,5,144,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,14300000.0,16990000.0
Audi,q2 tfsi,2018,Petrol,suv,5,144,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,14850000.0,
Audi,q3,2013,Petrol,suv / suv sportsback,5,183,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,14000000.0
