Manufacturer,Model,Year,Condition,Fuel Type,Price,Mileage,Average Price (0-20k km),Average Price (20k-50k km),Average Price (50k-100k km),Average Price (100k+ km)
Audi,A6 TDI,2014.0,,Diesel,19000000,154201,,,,19000000
Audi,A6,2013.0,,Diesel,15900000,113000,,,,15900000
Audi,A4 TDI,2012.0,,Diesel,12900000,143000,,,,12900000
Audi,A6 2.0 TDI,2012.0,,Diesel,13950000,226000,,,,13950000
Audi,A4,2011.0,,Diesel,11800000,145000,,,13000000,12400000
BMW,X7 X DRIVE 40D M SPORT,2024.0,,Diesel,120000000,5000,120000000,,,
BMW,520d M Sport,2019.0,,Diesel,43000000,30000,,37750000,,20350000
BMW,725D Luxury Line,2019.0,,Diesel,62500000,4000,62500000,,,
BMW,520d,2016.0,,Diesel,31500000,114000,,,20392857,22304500
BMW,520d,2015.0,,Diesel,25250000,136000,,,20392857,22304500
BMW,520d 2.0 3 Option,2015.0,,Diesel,29500000,90000,,,29500000,
BMW,520d AGENT IMPORTED,2015.0,,Diesel,27500000,78000,,,27500000,
BMW,520d F10,2015.0,,Diesel,29500000,58000,,,24675000,22925000
BMW,520d GT MSPORT,2015.0,,Diesel,26800000,39000,,26800000,,
BMW,520d Individual Spec,2015.0,,Diesel,34500000,62500,,,34500000,
BMW,520d LCI,2015.0,,Diesel,27500000,92200,,,27500000,
BMW,520d M Sport,2015.0,,Diesel,32500000,28681,,37750000,,20350000
BMW,520d M Sport Prestige,2015.0,,Diesel,27500000,105000,,,,27500000
BMW,X3 20D,2015.0,,Diesel,21850000,70400,,,21850000,
BMW,320d Luxury Line,2014.0,,Diesel,24800000,102000,,,,24800000
BMW,520d,2014.0,,Diesel,24500000,109000,,,20392857,22304500
BMW,X3,2014.0,,Diesel,23000000,64000,,,19975000,18000000
BMW,X5,2014.0,,Diesel,33500000,94000,,,33500000,
BMW,320d,2013.0,,Diesel,17500000,92000,,,17700000,14300000
BMW,320d F30,2013.0,,Diesel,17000000,175000,,,,17000000
BMW,320d M Sport,2013.0,,Diesel,23500000,60000,,,23500000,
BMW,320d M Sports,2013.0,,Diesel,16500000,90000,,,16500000,
BMW,320d Sports +,2013.0,,Diesel,21850000,132000,,,,21850000
BMW,520d,2013.0,,Diesel,19000000,138000,,,20392857,22304500
BMW,520d 3 Option,2013.0,,Diesel,24700000,150000,,,,24700000
BMW,520d 3 Option M Sport,2013.0,,Diesel,20800000,137000,,,,20800000
BMW,520d 3 Options,2013.0,,Diesel,23975000,118000,,,,23975000
BMW,520d F10,2013.0,,Diesel,19850000,100000,,,24675000,22925000
BMW,520d FACE LIFT,2013.0,,Diesel,19800000,128000,,,,19800000
BMW,520d GT (GRAN TURISMO),2013.0,,Diesel,24500000,88000,,,24500000,
BMW,520d Twin,2013.0,,Diesel,25800000,173000,,,,22850000
BMW,X3,2013.0,,Diesel,18000000,148000,,,19975000,18000000
BMW,X3 20D XDRIVE,2013.0,,Diesel,16800000,95000,,,16800000,
BMW,X3 Diesal 1st,2013.0,,Diesel,17850000,159000,,,,17850000
BMW,X3 M Sport,2013.0,,Diesel,17800000,110000,,,,17800000
BMW,320d,2012.0,,Diesel,16800000,98000,,,17700000,14300000
BMW,320d E90,2012.0,,Diesel,12990000,225315,,,,12990000
BMW,520d,2012.0,,Diesel,19000000,95000,,,20392857,22304500
BMW,520d 520 d f 10,2012.0,,Diesel,23750000,132157,,,,23750000
BMW,520d M Sport,2012.0,,Diesel,19200000,128000,,37750000,,20350000
BMW,520d M-Sport,2012.0,,Diesel,23500000,175000,,,,23500000
BMW,520d MSPORT,2012.0,,Diesel,23990000,153200,,,,23990000
BMW,520d Pearl White,2012.0,,Diesel,21600000,140000,,,,21600000
BMW,520d Sports,2012.0,,Diesel,19500000,158000,,,,19500000
BMW,520d Twin,2012.0,,Diesel,19900000,179000,,,,22850000
BMW,730Ld,2012.0,,Diesel,29950000,50000,,29950000,29950000,
BMW,X3,2012.0,,Diesel,16950000,90000,,,19975000,18000000
BMW,320 D,2011.0,,Diesel,15000000,70000,,,15000000,
BMW,320d,2011.0,,Diesel,13500000,143000,,,17700000,14300000
BMW,520d,2011.0,,Diesel,21500000,130000,,,20392857,22304500
BMW,X1,2011.0,,Diesel,11500000,148000,,,11900000,11425000
DFSK,Glory 330,2021.0,,Diesel,6675000,52000,5650000,5790000,5762500,
DFSK,Glory 330 TDI,2021.0,,Diesel,63500000,79000,,,63500000,
DFSK,Glory,2016.0,,Diesel,5450000,86000,,,5450000,
DFSK,Glory 330,2016.0,,Diesel,5790000,34000,5650000,5790000,5762500,
DFSK,Glory 330 Station Wagon,2016.0,,Diesel,4800000,141386,,,,4800000
Ford,Ranger MS-RT Limited 3.2Di,2025.0,,Diesel,34500000,0,34500000,,,
Ford,Ranger MSRT 3.0Di Bi,2025.0,,Diesel,36800000,0,36800000,,,
Ford,Ranger Raptor,2025.0,,Diesel,34700000,7,35300000,,,
Ford,Ranger Raptor 2.L,2025.0,,Diesel,33900000,0,33900000,,,
Ford,Ranger Raptor Stormtrack,2025.0,,Diesel,36950000,1,36950000,,,
Ford,Ranger Stormtrak #1,2025.0,,Diesel,30500000,0,30500000,,,
Ford,Raptor 2L,2025.0,,Diesel,36500000,0,36500000,,,
Ford,Raptor Ranger,2025.0,,Diesel,36500000,0,35843750,,26500000,20400000
Ford,Raptor Ranger 2.0,2025.0,,Diesel,36500000,10,36500000,,,
Ford,Raptor Ranger 2.0 L,2025.0,,Diesel,33800000,0,33800000,,,
Ford,Raptor Ranger 2.0L,2025.0,,Diesel,37550000,0,37550000,,,
Ford,Raptor Ranger 2.0L BI-TURBO,2025.0,,Diesel,35590000,0,35590000,,,
Ford,Raptor Ranger 2.0L Bi-TURBO,2025.0,,Diesel,34990000,0,35490000,,,
Ford,Raptor Ranger 2.0L Bi-Turbo,2025.0,,Diesel,37000000,0,37166667,,,
Ford,Raptor Ranger 2L,2025.0,,Diesel,34000000,0,34000000,,,
Ford,Raptor Ranger Brand,2025.0,New,Diesel,36700000,10,36600000,,,
Ford,Raptor Ranger Hamer,2025.0,,Diesel,36750000,0,36275000,,,
Ford,Raptor Ranger Hamer Kitted,2025.0,,Diesel,37400000,0,37433333,,,
Ford,Raptor Ranger MSRT,2025.0,,Diesel,36500000,0,36500000,,,
Ford,Raptor Ranger Thailand Pre Order,2025.0,,Diesel,33450000,5,33450000,,,
Ford,Raptor Ranger W/Hamer,2025.0,,Diesel,37000000,0,37000000,,,
Ford,Raptor Wildtrak,2025.0,,Diesel,33000000,50,33000000,,,
Ford,Wildtrak,2025.0,,Diesel,33000000,100,33000000,,,
Ford,Ranger MS - RT,2024.0,,Diesel,32500000,53,33675000,,,
Ford,Ranger MS-RT,2024.0,,Diesel,32990000,0,32990000,,,
Ford,Ranger MS-RT BRAND,2024.0,NEW,Diesel,35900000,0,35900000,,,
Ford,Ranger MSRT #1,2024.0,,Diesel,33500000,0,33500000,,,
Ford,Ranger MSRT BN,2024.0,,Diesel,33700000,9,33700000,,,
Ford,Ranger MSRT Unit 2,2024.0,,Diesel,33500000,0,33500000,,,
Ford,Ranger Wildtrak,2024.0,,Diesel,33000000,0,33000000,,,21250000
Ford,Ranger brand,2024.0,new,Diesel,27000000,0,27000000,,,
Ford,Raptor Ranger MS-RT,2024.0,,Diesel,34500000,0,34500000,,,
Ford,Raptor Ranger MSRT 3000cc,2024.0,,Diesel,34500000,0,34500000,,,
Ford,Raptor Ranger MSRT 3L V6,2024.0,,Diesel,33800000,0,33800000,,,
Ford,Raptor Ranger MSRT Limited Edition,2024.0,,Diesel,33500000,0,33500000,,,
Ford,Raptor Ranger MSRT Special,2024.0,,Diesel,35500000,0,35500000,,,
Ford,Raptor Ranger,2023.0,,Diesel,36900000,0,35843750,,26500000,20400000
Ford,Ranger,2019.0,,Diesel,21000000,102000,,,,14850000
Ford,Raptor Ranger Bi-turbo,2019.0,,Diesel,25200000,72000,,,25200000,
Ford,Raptor Ranger F-150,2019.0,,Diesel,27000000,32000,,27000000,,
Ford,Raptor Ranger,2018.0,,Diesel,24300000,160000,35843750,,26500000,20400000
Ford,Ranger,2017.0,,Diesel,18800000,157900,,,,14850000
Ford,Ranger 2200 4x4 SVT TRIM,2017.0,,Diesel,16800000,159000,,,,16800000
Ford,Ranger Raptor F150 3200cc M,2017.0,,Diesel,24500000,190000,,,,24500000
Ford,Ranger Wildtrak,2017.0,,Diesel,21250000,130000,33000000,,,21250000
Ford,Raptor Ranger,2017.0,,Diesel,26500000,90000,35843750,,26500000,20400000
Ford,Raptor Ranger,2016.0,,Diesel,18200000,120000,35843750,,26500000,20400000
Ford,Ranger,2015.0,,Diesel,13500000,190000,,,,14850000
Ford,Raptor Ranger 3.2 F150,2014.0,,Diesel,22500000,155000,,,,22500000
Ford,Everest EVAEAST JEEP,2011.0,,Diesel,12000000,155000,,,,12000000
Ford,Ranger Single Cab,2011.0,,Diesel,5500000,272242,,,,5500000
Ford,Ranger XLT,2011.0,,Diesel,10000000,245000,,,,10000000
Ford,Ranger,2005.0,,Diesel,6100000,261000,,,,14850000
Ford,Ranger Full Option,2005.0,,Diesel,5650000,248000,,,,5650000
Hyundai,Santa Fe,2016.0,,Diesel,15000000,234000,,,13800000,12542857
Hyundai,Santa Fe,2015.0,,Diesel,13700000,189000,,,13800000,12542857
Hyundai,Santa Fe,2014.0,,Diesel,14700000,141337,,,13800000,12542857
Hyundai,Santa Fe fulle loaded,2014.0,,Diesel,14850000,70000,,,14850000,
Hyundai,Tucson,2014.0,,Diesel,11350000,116000,,,,9530000
Hyundai,Santa Fe,2013.0,,Diesel,14000000,170000,,,13800000,12542857
Hyundai,Santa Fe CRD,2013.0,,Diesel,12900000,163000,,,,12900000
Hyundai,Tucson,2013.0,,Diesel,9500000,115000,,,,9530000
Hyundai,Tucson Fully Lorded,2013.0,,Diesel,11575000,148000,,,,11575000
Hyundai,Accent,2012.0,,Diesel,7300000,110000,,,,7300000
Hyundai,Tucson,2012.0,,Diesel,9400000,135000,,,,9530000
Hyundai,Tucson IX 35,2012.0,,Diesel,9250000,149000,,,,9250000
Hyundai,Tucson,2011.0,,Diesel,9700000,190000,,,,9530000
Hyundai,Santa Fe 4 Wheel,2010.0,,Diesel,2200000,161000,,,,2200000
Hyundai,Terracan,2006.0,,Diesel,7800000,121535,,,,7800000
Hyundai,Santa Fe,2001.0,,Diesel,3500000,225000,,,13800000,12542857
Hyundai,Sonata,2000.0,,Diesel,2200000,226000,,,,2200000
Isuzu,D-Max,2017.0,,Diesel,13000000,142000,,,,13000000
JAC,T9,2025.0,,Diesel,16575000,0,17541667,,,
JAC,T9 Double Cab,2025.0,,Diesel,17500000,0,17500000,,,
JAC,,2025.0,,Diesel,18500000,0,,,,
Jaguar,F-Pace Diesal R Dynamic,2017.0,,Diesel,35900000,36000,,35900000,,
Jaguar,F-Pace R-Line,2017.0,,Diesel,46000000,2500,46000000,,,
Jaguar,XF,2013.0,,Diesel,15500000,70000,,,16000000,17500000
Jeep,Wrangler,2016.0,,Diesel,37500000,119000,,,43000000,38000000
Jeep,Wrangler,2015.0,,Diesel,43000000,96000,,,43000000,38000000
Jeep,Wrangler Sports,2015.0,,Diesel,39500000,140000,,,,39500000
Jeep,Wrangler 1ST,2013.0,,Diesel,39500000,141010,,,,39500000
Kia,Sorento 1-20 Highest Spec,2017.0,,Diesel,26500000,100000,,,26500000,26500000
Kia,Sorento 1-20 highest spec,2016.0,,Diesel,23275000,114000,,,,23275000
Kia,Carnival,2015.0,,Diesel,20500000,146000,,,,20500000
Kia,Carnival Fully Loaded,2015.0,,Diesel,21800000,76000,,,21800000,
Kia,Carnival Grand,2015.0,,Diesel,17000000,169000,,,,17000000
Kia,Sorento,2015.0,,Diesel,24350000,94000,,,18675000,14045000
Kia,Sorento 1 TO 24,2015.0,,Diesel,21000000,149854,,,,21000000
Kia,Sorento 1-20 FULLY LOADED,2015.0,,Diesel,23500000,145000,,,,23500000
Kia,Sorento 4x4,2015.0,,Diesel,21500000,199000,,,,21500000
Kia,Sportage,2015.0,,Diesel,13650000,148000,,,110000000,10369333
Kia,Sportage LX,2015.0,,Diesel,13150000,165000,,,,13150000
Kia,Sorento,2014.0,,Diesel,15000000,104000,,,18675000,14045000
Kia,Sorento 1-11 options,2014.0,,Diesel,14950000,131000,,,,14950000
Kia,Sorento CRDI,2014.0,,Diesel,17650000,160000,,,,17050000
Kia,Sorento CRDI 1 to 14,2014.0,,Diesel,16000000,193000,,,,16000000
Kia,Sorento CRDi 1 to 14,2014.0,,Diesel,16500000,130000,,,,16500000
Kia,Sorento Face Lift Model,2014.0,,Diesel,16350000,112000,,,,16350000
Kia,Sportage,2014.0,,Diesel,12700000,130000,,,110000000,10369333
Kia,Sportage 2.2 Facelift,2014.0,,Diesel,10650000,182000,,,,10650000
Kia,Sorento,2013.0,,Diesel,16250000,171000,,,18675000,14045000
Kia,Sorento Face-lift,2013.0,,Diesel,14250000,132000,,,,14250000
Kia,Sportage,2013.0,,Diesel,110000000,88000,,,110000000,10369333
Kia,Sportage fully loaded,2013.0,,Diesel,10950000,134000,,,,10950000
Kia,Sportage maintain,2013.0,,Diesel,9950000,182000,,,,9950000
Kia,Sorento,2012.0,,Diesel,9990000,287000,,,18675000,14045000
Kia,Sorento 1 TO 8,2012.0,,Diesel,13290000,147000,,,,13290000
Kia,Sorento 1 to 12,2012.0,,Diesel,12300000,151000,,,,12300000
Kia,Sorento 1-12 Options,2012.0,,Diesel,12700000,112200,,,,13225000
Kia,Sorento 1-12 option,2012.0,,Diesel,14200000,179000,,,,14200000
Kia,Sorento 1-12 options,2012.0,,Diesel,12850000,168000,,,,12850000
Kia,Sorento 1-7,2012.0,,Diesel,11650000,190000,,,,11650000
Kia,Sorento 7 Seater,2012.0,,Diesel,11000000,126000,,,,11000000
Kia,Sorento AWD,2012.0,,Diesel,12000000,170000,,,,12000000
Kia,Sorento Fully Loaded,2012.0,,Diesel,14400000,75000,,,14400000,
Kia,Sorento Fully Loaded (1to12),2012.0,,Diesel,12550000,155000,,,,12550000
Kia,Sportage,2012.0,,Diesel,10000000,205000,,,110000000,10369333
