Manufacturer,Model,Year,Condition,Fuel Type,Price,Mileage,Average Price (0-20k km),Average Price (20k-50k km),Average Price (50k-100k km),Average Price (100k+ km)
Audi,Q7 Platinum Edition,2025.0,,Petrol,73000000,0,73000000,,,
Audi,Q7 Quattro,2025.0,,Petrol,75000000,50,75000000,,36200000,25250000
Audi,A1 TFSI 25,2024.0,,Petrol,15450000,3350,15650000,,,
Audi,A3,2024.0,,Petrol,24500000,7000,22250000,21000000,14500000,15500000
Audi,A3 S Line Highest Spec,2024.0,,Petrol,25000000,300,25000000,,,
Audi,A3 Sedan TFSI,2024.0,,Petrol,19500000,12000,19750000,,,
Audi,A3 Sportback Advanced,2024.0,,Petrol,14400000,10000,14400000,,,
Audi,A3 Sportback Premium,2024.0,,Petrol,20200000,11000,20200000,,,
Audi,A3 TFSI,2024.0,,Petrol,22400000,7000,22400000,,,
Audi,Q3 SPORT BACK S-LINE,2024.0,,Petrol,34000000,2000,34000000,,,
Audi,A1 TFSI 25,2023.0,,Petrol,15850000,15400,15650000,,,
Audi,A3,2023.0,,Petrol,25500000,29000,22250000,21000000,14500000,15500000
Audi,A3 30 TFSI Premium,2023.0,,Petrol,23500000,10000,23500000,,,
Audi,A3 30 TFSI Sedan,2023.0,,Petrol,23800000,5000,23800000,,,
Audi,A3 30 TFSI UK Spec,2023.0,,Petrol,21800000,4000,21800000,,,
Audi,A3 Advance Sedan 30TFSI,2023.0,,Petrol,22950000,3500,22950000,,,
Audi,A3 Sportback TFSI,2023.0,,Petrol,18950000,16000,18950000,,,
Audi,A3 Sportsback,2023.0,,Petrol,18000000,18000,18625000,,14200000,
Audi,A3 TFSI 30,2023.0,,Petrol,18750000,19000,18750000,,,
Audi,A3 TFSI Advanced,2023.0,,Petrol,19000000,24880,,19000000,,
Audi,A3 TFSI UK Spec,2023.0,,Petrol,21800000,6300,21800000,,,
Audi,A3 TFSi 1.0 Sportback,2023.0,,Petrol,19200000,12000,19200000,,,
Audi,Q3 S Line Sportsback,2023.0,,Petrol,35500000,5000,35500000,,,
Audi,Q3 TFSi S Line Plus,2023.0,,Petrol,34500000,8900,34500000,,,
Audi,e-tron GT Sport Edition,2023.0,,Petrol,98000000,0,98000000,,,
Audi,Q3,2022.0,,Petrol,31000000,3000,31000000,,19200000,20500000
Audi,A1 Sline Sportsback,2020.0,,Petrol,14800000,60000,,,14800000,
Audi,A3 S Line Full Option,2019.0,,Petrol,17500000,60000,,,17500000,
Audi,A5 S Line,2019.0,,Petrol,33500000,50000,,33500000,33500000,
Audi,A5 S-Line,2019.0,,Petrol,31000000,43000,,31000000,26000000,
Audi,Q2,2019.0,,Petrol,17000000,62000,,,15665000,14080000
Audi,Q3,2019.0,,Petrol,23500000,100500,31000000,,19200000,20500000
