Manufacturer,Model,Fuel Type,Body Type,Seating Capacity,Ground Clearance (range),Body Type 1 (sedan),Body Type 2 (hatchback),Body Type 3 (suv),Body Type 4 (mpv),Body Type 5 (pickup),Body Type 6 (coupe),Body Type 7 (convertible),Body Type 8 (wagon),Body Type 9 (van),Body Type 10 (crossover),Body Type 11 (kei / microvan),Body Type 12 (roadster),Body Type 13 (other),Body Type 14 (liftback),Body Type 15 (mpv / minivan),City/Urban,Suburban/Normal,Mid Off-Road,Off-Road/Hilly Terrain,Year
Audi,a1,Petrol,hatchback,5,121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016–2018
Audi,a1 tfsi,Petrol,hatchback,5,121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016
Audi,a1 tfsi 25,Petrol,hatchback,5,136,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2023–2024
Audi,a1 tfsi s-line,Petrol,hatchback,5,121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2018
Audi,a3,Petrol,hatchback,5,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017
Audi,a3,Petrol,hatchback,5,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023–2024
Audi,a3 30 tfsi,Petrol,hatchback,5,112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023
Audi,a3 rs3,Petrol,hatchback,5,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2018
Audi,a3 s-line,Petrol,hatchback,5,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"2018,2024"
Audi,a3 sedan,Hybrid,sedan,5,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2024
Audi,a3 sportback advanced,Petrol,hatchback,5,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2024
Audi,a3 sportback premium,Petrol,hatchback,5,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2024
Audi,a3 sportback s-line,Hybrid,hatchback,5,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023
Audi,a3 sportsback,Petrol,hatchback,5,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"2017,2023"
Audi,a3 tfsi,Petrol,hatchback,5,112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"2018,2023,2024"
Audi,a3 tfsi s-line,Petrol,hatchback,5,112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2018
Audi,a3 tfsi sedan,Petrol,sedan,5,112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2024
Audi,a3 tfsi sportback,Petrol,hatchback,5,112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023
Audi,a4,Diesel,sedan / wagon,5,129,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2011
Audi,a4,Petrol,sedan / wagon,5,108,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2012
Audi,a4 40tfsi,Petrol,sedan/wagon,5,108,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016
Audi,a4 b8.5 quattro,Petrol,sedan/wagon,5,154,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2012
