Manufacturer,Model,Year,Condition,Fuel Type,Price
Mitsubishi,Montero V78,2006,,Diesel,"Rs 16,500,000"
Mitsubishi,Montero GLS Fully loaded,2015,,Diesel,"Rs 29,800,000"
BMW,520d 3 Option M Sport,2013,,Diesel,"Rs 20,800,000"
Toyota,Hilux GR Sport,2019,,Diesel,"Rs 21,000,000"
Peugeot,508,2016,,Diesel,"Rs 16,500,000"
Toyota,Hilux Rocco Thailand,2025,,Diesel,"Rs 28,600,000"
Land Rover,Discovery Sport HSE SML imported,2015,,Diesel,"Rs 22,500,000"
Toyota,Hilux,2010,,Diesel,"Rs 10,000,000"
Mitsubishi,Montero Sport,2012,,Diesel,"Rs 15,800,000"
Toyota,Land Cruiser Prado 2025,,,Diesel,"Rs 86,500,000"
Kia,Sorento Fully Loaded,2012,,Diesel,"Rs 14,400,000"
Kia,Sportage,2012,,Diesel,"Rs 10,390,000"
Toyota,Hilux Rocco 2.8L Brand,2025,New,Diesel,"Rs 28,250,000"
Kia,Sorento 1-20 Highest Spec,2017,,Diesel,"Rs 26,500,000"
Ford,Raptor Ranger Bi-turbo,2019,,Diesel,"Rs 25,200,000"
Kia,Sorento Fully Loaded (1to12),2012,,Diesel,"Rs 12,550,000"
Nissan,Sunny FB 13,1993,,Diesel,"Rs 2,350,000"
Toyota,Hilux GR Sport,2023,,Diesel,"Rs 26,000,000"
Toyota,Land Cruiser Prado,2015,,Diesel,"Rs 46,890,000"
Kia,Sorento 1-12 Options,2012,,Diesel,"Rs 12,700,000"
Isuzu,Double Cab Tfr54,1994,,Diesel,"Rs 3,950,000"
Toyota,Hilux GR SPORT THAILAND,2024,,Diesel,"Rs 30,990,000"
BMW,520d,2013,,Diesel,"Rs 19,000,000"
Kia,Sorento 1 to 10,2009,,Diesel,"Rs 13,500,000"
Toyota,Land Cruiser Prado TRJ 150,2010,,Diesel,"Rs 29,700,000"
Kia,Sorento CRDi 1 to 14,2014,,Diesel,"Rs 16,500,000"
Toyota,Hilux Rocco Brand,2025,New,Diesel,"Rs 28,500,000"
Hyundai,Santa Fe,2016,,Diesel,"Rs 15,000,000"
Toyota,Hilux Vigo Single Cab,2010,,Diesel,"Rs 9,500,000"
Land Rover,Defender 130 Company,2005,Brandnew,Diesel,"Rs 26,000,000"
Ford,Raptor Ranger,2025,,Diesel,"Rs 35,500,000"
Jaguar,XF,2013,,Diesel,"Rs 15,500,000"
Mitsubishi,L200,2007,,Diesel,"Rs 9,250,000"
Ford,Ranger MSRT Unit 2,2024,,Diesel,"Rs 33,500,000"
Toyota,Hilux Rocco,2025,,Diesel,"Rs 28,000,000"
Toyota,Hilux Revo,2025,,Diesel,"Rs 27,875,000"
Mercedes Benz,GLE 300D PREMIUM PLUS/PERFUME,2020,,Diesel,"Rs 46,500,000"
Toyota,Land Cruiser Prado,2017,,Diesel,"Rs 52,450,000"
Ford,Raptor Ranger MSRT Limited Edition,2024,,Diesel,"Rs 33,500,000"
Toyota,Hilux GR SPORT,2023,,Diesel,"Rs 29,800,000"
Toyota,Hilux GR Sport,2024,,Diesel,"Rs 26,500,000"
Toyota,Hilux Revo,2017,,Diesel,"Rs 18,800,000"
Nissan,Cedric,1987,,Diesel,"Rs 2,300,000"
Land Rover,Discovery 4 Vogue,2014,,Diesel,"Rs 35,000,000"
Toyota,Hilux Rocco double cab,2025,,Diesel,"Rs 29,500,000"
BMW,X1,2011,,Diesel,"Rs 11,500,000"
Mahindra,KUV 100,2024,,Diesel,"Rs 7,050,000"
BMW,320d,2012,,Diesel,"Rs 16,800,000"
Nissan,AD Wagon Y10,1997,,Diesel,"Rs 2,500,000"
,,,,,"Rs 24,300,000"
Mercedes Benz,E300 Night Edition,2015,,Diesel,"Rs 18,000,000"
Nissan,Patrol Y61,2015,,Diesel,"Rs 33,500,000"
Toyota,Hilux GR Sport Japan Spec,2023,,Diesel,"Rs 25,950,000"
Ford,Ranger Raptor F150 3200cc M,2017,,Diesel,"Rs 24,500,000"
BMW,520d,2012,,Diesel,"Rs 19,000,000"
Micro,Rexton,2015,,Diesel,"Rs 14,000,000"
Land Rover,Discovery,2017,,Diesel,"Rs 35,500,000"
Kia,Sorento 1-20 FULLY LOADED,2015,,Diesel,"Rs 23,500,000"
Mercedes Benz,E200 W210,2000,,Diesel,"Rs 6,950,000"
Ford,Raptor Ranger Hamer,2025,,Diesel,"Rs 36,750,000"
Mahindra,KUV 100 KUV100 NXT,2023,,Diesel,"Rs 6,890,000"
Mitsubishi,Montero KH4WGRPZR,2012,,Diesel,"Rs 15,450,000"
Toyota,Hilux Rocco PK B5,2020,,Diesel,"Rs 24,950,000"
Nissan,Sunny,1991,,Diesel,"Rs 2,000,000"
Nissan,Sunny Super Saloon,1992,,Diesel,"Rs 2,050,000"
Micro,Kyron,2012,,Diesel,"Rs 7,950,000"
Toyota,Hilux GR SPORT,2025,,Diesel,"Rs 32,200,000"
Ford,Ranger Wildtrak,2017,,Diesel,"Rs 21,250,000"
Toyota,Hilux Revo GR Sport,2025,,Diesel,"Rs 29,800,000"
Toyota,Hilux Z GR Sport,2023,,Diesel,"Rs 25,500,000"
Tata,Indigo,2006,,Diesel,"Rs 2,320,000"
Land Rover,Range Evoque,2013,,Diesel,"Rs 19,650,000"
Mitsubishi,Montero V76,2006,,Diesel,"Rs 17,500,000"
Land Rover,Discovery,2019,,Diesel,"Rs 47,500,000"
Toyota,Fortuner,2013,,Diesel,"Rs 21,700,000"
Kia,Sorento,2015,,Diesel,"Rs 24,350,000"
Toyota,Land Cruiser Prado TZG HIEGHT COTROL,2017,,Diesel,"Rs 52,450,000"
Toyota,Land Cruiser Sahara V6 7 seats BN,2024,,Diesel,"Rs 109,000,000"
Ford,Raptor Ranger Brand,2025,New,Diesel,"Rs 36,700,000"
BMW,520d M Sport Prestige,2015,,Diesel,"Rs 27,500,000"
Toyota,Hilux Z GR-SPORT,2023,,Diesel,"Rs 24,800,000"
Land Rover,Defender 110 PUMA 2.2 1ST SML,2015,,Diesel,"Rs 37,500,000"
Mitsubishi,Montero Sports,2011,,Diesel,"Rs 16,700,000"
Ford,Raptor Ranger 2.0L Bi-TURBO,2025,,Diesel,"Rs 34,990,000"
