Manufacturer,Model,Year,Condition,Fuel Type,Price
BMW,530e M Sport 45000Km,2018,,Electric,"Rs 34,700,000"
Nissan,Leaf,2012,,Electric,"Rs 4,650,000"
Nissan,Leaf AZEO,2013,,Electric,"Rs 5,350,000"
Nissan,Leaf Acenta,2014,,Electric,"Rs 5,900,000"
Nissan,Leaf,2015,,Electric,"Rs 6,800,000"
Audi,e-tron Q4,2023,,Electric,"Rs 36,500,000"
Nissan,Leaf G grade,2014,,Electric,"Rs 5,150,000"
,,,,,"Rs 5,600,000"
Audi,Q3 Q4 Vorsprung SLine,2024,,Electric,"Rs 42,950,000"
BYD,Sealion 6,2025,,Electric,"Rs 23,590,000"
Audi,Q4,2024,,Electric,"Rs 39,500,000"
MG,MG4 V Long Range WITH AMOTRIZ BODYKIT,2024,,Electric,"Rs 16,490,000"
Tesla,Model 3 HIGHLAND FACELIFT,2024,,Electric,"Rs 32,490,000"
Tesla,Model Y LONG RANGE,2024,,Electric,"Rs 32,490,000"
Kia,EV5 | Shale Grey,2024,,Electric,"Rs 34,500,000"
Kia,EV5 | Iceberg Green,2024,,Electric,"Rs 34,500,000"
Kia,EV5 | Frost Blue,2024,,Electric,"Rs 34,500,000"
Nissan,Leaf AZE0,2014,,Electric,"Rs 5,300,000"
Tesla,Model 3,2024,,Electric,"Rs 34,000,000"
MG,MG4 X,2024,,Electric,"Rs 13,900,000"
Tesla,Model 3 Facelift,2024,,Electric,"Rs 39,500,000"
Peugeot,E-2008,2023,,Electric,"Rs 23,790,000"
Mercedes Benz,E350 E350e AMG Premium +,2017,,Electric,"Rs 26,700,000"
BMW,iX xDrive40 M-Sport Pro,2023,,Electric,"Rs 52,500,000"
Mercedes Benz,EQE 300 AMG PREMIUM PLUS,2024,,Electric,"Rs 53,590,000"
Nissan,Leaf,2014,,Electric,"Rs 8,665,000"
Audi,Q3 Q4/S-Line/8YWarranty,2023,,Electric,"Rs 30,500,000"
Tesla,Model Y Premium Editions,2024,,Electric,"Rs 31,950,000"
Tesla,Model Y,2024,,Electric,"Rs 32,950,000"
BYD,ATTO 3,2024,,Electric,"Rs 22,990,000"
Audi,e-tron 50 Quattro Q8 F/Load,2024,,Electric,"Rs 52,500,000"
Audi,e-tron Q8 50 Quattro S Line,2024,,Electric,"Rs 52,500,000"
MG,MG4 V Long Range Highest Spec,2024,,Electric,"Rs 16,500,000"
Nissan,Leaf Ascenta,2014,,Electric,"Rs 5,800,000"
BYD,e6 White Exterior,2019,,Electric,"Rs 9,000,000"
Audi,e-tron 50 Quattro Q8,2024,,Electric,"Rs 45,000,000"
Porsche,Taycan,2024,,Electric,"Rs 82,500,000"
BMW,i7 M SPORT 2-TONE ULT,2024,,Electric,"Rs 135,000,000"
BMW,i7 MATT PAINT FULL SPEC,2024,,Electric,"Rs 125,000,000"
Mercedes Benz,EQS 450 AMG BUSINESS CLASS,2024,,Electric,"Rs 115,000,000"
Audi,e-tron Q8 50 QUATTRO,2024,,Electric,"Rs 43,000,000"
Tesla,Model Y LONG RANGE FULL SPEC,2024,,Electric,"Rs 33,000,000"
Jaecoo,J6 EV,2025,,Electric,"Rs 26,500,000"
Mercedes Benz,EQS 450 AMG,2024,,Electric,"Rs 88,500,000"
Nissan,Leaf Acenta,2015,,Electric,"Rs 7,750,000"
Nissan,Leaf AZEO,2014,,Electric,"Rs 5,450,000"
