Manufacturer,Model,Year,Condition,Fuel Type,Price
Peugeot,5008 GT Line,2025,,Hybrid,"Rs 3,650,000"
Suzuki,Wagon R,2018,,Hybrid,"Rs 7,250,000"
Toyota,Crown ESTATE Z,2025,,Hybrid,"Rs 59,990,000"
Toyota,Axio WXB,2017,,Hybrid,"Rs 12,800,000"
Honda,Grace EX Package,2016,,Hybrid,"Rs 10,600,000"
Toyota,Raize Z 1200cc,2025,,Hybrid,"Rs 16,250,000"
Honda,Vezel Z Play Moonroof,2023,,Hybrid,"Rs 22,450,000"
Honda,Vezel Z PLAY MOONROOF,2025,,Hybrid,"Rs 24,000,000"
Toyota,Prius S tour,2009,,Hybrid,"Rs 9,500,000"
Suzuki,Wagon R Stingray,2018,,Hybrid,"Rs 7,970,000"
Mitsubishi,Outlander PHEV,2015,,Hybrid,"Rs 11,950,000"
Suzuki,Wagon R Stingray Safety,2018,,Hybrid,"Rs 7,950,000"
Nissan,X-Trail HT,2016,,Hybrid,"Rs 11,000,000"
Suzuki,Wagon R FX SAFETY,2024,,Hybrid,"Rs 8,690,000"
Honda,Vezel,2013,,Hybrid,"Rs 8,975,000"
Honda,Insight,2009,,Hybrid,"Rs 6,795,000"
Suzuki,Spacia XS Custom Safety Pck,2024,,Hybrid,"Rs 10,925,000"
Toyota,Raize Z Grade,2025,,Hybrid,"Rs 16,700,000"
Toyota,Yaris Cross Z Premium,2025,,Hybrid,"Rs 21,850,000"
Suzuki,Spacia GS Custom Safety Pck,2024,,Hybrid,"Rs 10,275,000"
Honda,Vezel Z Premium,2024,,Hybrid,"Rs 20,700,000"
Suzuki,Spacia XS CUSTOM,2024,,Hybrid,"Rs 10,600,000"
Toyota,Alphard Executive Lounge,2025,,Hybrid,"Rs 67,500,000"
Suzuki,Wagon R Stingray Z,2025,,Hybrid,"Rs 10,200,000"
Suzuki,Spacia 4WAY SAFETY Unregist,2023,,Hybrid,"Rs 8,350,000"
Toyota,Aqua G Grade,2012,,Hybrid,"Rs 6,950,000"
Toyota,Yaris Cross Japan,2022,,Hybrid,"Rs 16,275,000"
Toyota,Raize Z Grade,2024,,Hybrid,"Rs 15,900,000"
Suzuki,Hustler G Brand,2025,New,Hybrid,"Rs 9,000,000"
Toyota,Raize Z,2025,,Hybrid,"Rs 16,400,000"
Suzuki,Spacia Xs Custom Twotone,2024,,Hybrid,"Rs 11,150,000"
Honda,Grace,2017,,Hybrid,"Rs 11,000,000"
Toyota,Axio,2013,,Hybrid,"Rs 9,650,000"
Honda,Vezel Z Premium B/N,2025,,Hybrid,"Rs 20,650,000"
Honda,Vezel Z PLAY MOON ROOF,2024,,Hybrid,"Rs 22,900,000"
Toyota,Yaris Cross Z - Grade,2022,,Hybrid,"Rs 16,975,000"
Honda,Vezel Z Play,2023,,Hybrid,"Rs 21,800,000"
Honda,Fit,2015,,Hybrid,"Rs 8,850,000"
Nissan,X-Trail,2015,,Hybrid,"Rs 10,700,000"
Suzuki,Spacia Custom XS,2023,,Hybrid,"Rs 10,850,000"
Toyota,Raize Modellista,2025,,Hybrid,"Rs 17,375,000"
Toyota,Aqua S Class,2015,,Hybrid,"Rs 9,000,000"
Suzuki,Wagon R ZX Custom,2025,,Hybrid,"Rs 9,600,000"
Toyota,Raize G Grade Unregister,2022,,Hybrid,"Rs 13,900,000"
BMW,530e G30,2019,,Hybrid,"Rs 31,900,000"
Suzuki,Wagon R Stingray,2017,,Hybrid,"Rs 7,450,000"
Toyota,Voxy,2014,,Hybrid,"Rs 18,200,000"
Honda,Insight ZE4,2019,,Hybrid,"Rs 15,800,000"
Suzuki,Spacia Custom,2025,,Hybrid,"Rs 11,800,000"
Land Rover,Range Autobiography LWB,2019,,Hybrid,"Rs 86,000,000"
Toyota,Raize,2022,,Hybrid,"Rs 14,975,000"
Honda,Vezel Z Grade,2023,,Hybrid,"Rs 19,400,000"
Toyota,Aqua X urban,2015,,Hybrid,"Rs 9,825,000"
BMW,740Le G12,2017,,Hybrid,"Rs 40,000,000"
Toyota,Yaris Cross Z,2024,,Hybrid,"Rs 18,500,000"
Honda,Vezel,2025,,Hybrid,"Rs 20,200,000"
Suzuki,Swift MZ Safety,2023,,Hybrid,"Rs 14,100,000"
Honda,Vezel Z Grade,2025,,Hybrid,"Rs 21,000,000"
Honda,Vezel Z Grade,2015,,Hybrid,"Rs 11,000,000"
Suzuki,Swift MZ,2023,,Hybrid,"Rs 13,900,000"
Toyota,Aqua S Grade,2014,,Hybrid,"Rs 8,950,000"
Toyota,Axio,2015,,Hybrid,"Rs 10,400,000"
Toyota,Aqua G Grade,2013,,Hybrid,"Rs 8,200,000"
Honda,Vezel RS,2016,,Hybrid,"Rs 13,200,000"
Toyota,Voxy SZ Executive PKG,2024,,Hybrid,"Rs 32,450,000"
Honda,Vezel RS SENSING LED,2018,,Hybrid,"Rs 14,000,000"
Suzuki,Wagon R ZX UPGRADED / 6 AIR BAG,2025,,Hybrid,"Rs 10,350,000"
Honda,Vezel Z GRADE,2024,,Hybrid,"Rs 20,400,000"
Toyota,Sienta,2016,,Hybrid,"Rs 14,500,000"
Suzuki,Spacia XS PLUS,2023,,Hybrid,"Rs 9,100,000"
