Manufacturer,Model,Year,Condition,Fuel Type,Price
Suzuki,Alto L Highest Grade,2023,,Petrol,"Rs 7,350,000"
Land Rover,Defender P300 STRAIGHT,2024,,Petrol,"Rs 73,800,000"
Toyota,Corona A 150,1986,,Petrol,"Rs 1,475,000"
Tata,Nano,2011,,Petrol,"Rs 1,400,000"
Toyota,Land Cruiser Prado 6 Forward,2015,,Petrol,"Rs 43,700,000"
Suzuki,Swift RS,2017,,Petrol,"Rs 8,550,000"
Renault,KWID RXT,2016,,Petrol,"Rs 3,650,000"
BMW,X1 ENHANCED PACKAGE NEW,2025,,Petrol,"Rs 43,850,000"
Perodua,Viva Elite,2011,,Petrol,"Rs 4,550,000"
Nissan,Sunny,2000,,Petrol,"Rs 4,400,000"
BMW,X1 ENHANCED PACKAGE B/N,2025,,Petrol,"Rs 43,850,000"
Toyota,Land Cruiser Prado 250 vx,2024,,Petrol,"Rs 64,050,000"
Maruti Suzuki,800,2009,,Petrol,"Rs 2,275,000"
Maruti Suzuki,800,2005,,Petrol,"Rs 2,100,000"
Honda,Vezel Z Play Moon Roof,2024,,Petrol,"Rs 23,600,000"
Honda,Vezel Orange Package,2014,,Petrol,"Rs 11,000,000"
Suzuki,Alto K10 VXI,2013,,Petrol,"Rs 3,325,000"
Suzuki,Celerio Vxi,2015,,Petrol,"Rs 5,750,000"
Toyota,Raize Z GRADE,2023,,Petrol,"Rs 13,750,000"
BMW,M760 Full spec 575Bhp,2025,,Petrol,"Rs 155,000,000"
Daihatsu,Taft G Chrome B/NEW,2024,,Petrol,"Rs 9,350,000"
Datsun,Redi Go Airbag,2016,,Petrol,"Rs 3,375,000"
Toyota,CHR 2017 NGX50,,,Petrol,"Rs 12,800,000"
Honda,N-Box Custom,2024,,Petrol,"Rs 8,500,000"
Toyota,Roomy G GRADE,2024,,Petrol,"Rs 12,350,000"
Toyota,Axio Non,2013,,Petrol,"Rs 9,825,000"
Suzuki,Wagon R FX SAFETY,2023,,Petrol,"Rs 7,850,000"
Tata,Nano Twist,2014,,Petrol,"Rs 1,850,000"
Hyundai,Grand i10 Full option,2016,,Petrol,"Rs 6,650,000"
Toyota,CHR NGx50,2018,,Petrol,"Rs 14,350,000"
